2;9;September;Hella Haasse;Hella Haasse
2;9;September;Philip Hannan;Philip Hannan
3;0;September;Ralph M. Steinman;Ralph M. Steinman
;2;Oktober;Peter Przygodda;Peter Przygodda
;5;Oktober;Steve Jobs;Steve Jobs
10;Oktober;Ray Aghayan;Gorgen Ray Aghayan
1;1;Oktober;Jerachmi’el Assa;Jerachmi’el Assa
1;2;Oktober;Heinz Bennent;Heinz Bennent
1;2;Oktober;Dennis Ritchie;Dennis Ritchie
1;5;Oktober;Ueli Prager;Ueli Prager
1;6;Oktober;Dan Wheldon;Dan Wheldon
1;7;Oktober;Manfred Gerlach;Manfred Gerlach
1;8;Oktober;Friedrich Kittler;Friedrich Kittler
2;0;Oktober;Muammar al-Gaddafi;Muammar al-Gaddafi
2;2;Oktober;Edmundo Ros;Edmundo Ros
2;3;Oktober;John McCarthy;John McCarthy
2;3;Oktober;Marco Simoncelli;Marco Simoncelli
2;8;Oktober;Jiří Gruša;Jiří Gruša
3;1;Oktober;Flórián Albert;Flórián Albert
;1;November;Heinz Ludwig Arnold;Heinz Ludwig Arnold
;4;November;Rudolf Meimberg;Rudolf Meimberg
;6;November;Helmut Polensky;Helmut Polensky
;7;November;Lykke Aresin;Lykke Aresin
;7;November;Joe Frazier;Joe Frazier
;7;November;Andrea True;Andrea True
;9;November;Har Gobind Khorana;Har Gobind Khorana
1;4;November;Franz Josef Degenhardt;Franz Josef Degenhardt
1;4;November;Jackie Leven;Jackie Leven
1;9;November;Karl Aage Præst;Karl Aage Præst
2;0;November;Russell Garcia;Russell Garcia
2;0;November;Mario Martiradonna;Mario Martiradonna
2;2;November;Georg Kreisler;Georg Kreisler
2;2;November;Lynn Margulis;Lynn Margulis
2;4;November;Ludwig Hirsch;Ludwig Hirsch
25;November;Wassili Iwanowitsch Alexejew;Wassili Alexejew
2;7;November;Ken Russell;Ken Russell
3;0;November;Zdeněk Miler;Zdeněk Miler
;1;Dezember;Christa Wolf;Christa Wolf
4;Dezember;Sócrates (Fußballspieler);Sócrates
;4;Dezember;Hubert Sumlin;Hubert Sumlin
;5;Dezember;Peter Gethin;Peter Gethin
;7;Dezember;Josip Barković;Josip Barković
;7;Dezember;Harry Morgan;Harry Morgan
;8;Dezember;Gilbert Adair;Gilbert Adair
1;1;Dezember;Vasile Arvinte;Vasile Arvinte
1;1;Dezember;Hans Heinz Holz;Hans Heinz Holz
1;3;Dezember;Anthony Amato;Anthony Amato
1;3;Dezember;Klaus-Dieter Sieloff;Klaus-Dieter Sieloff
1;5;Dezember;Walter Giller;Walter Giller
1;5;Dezember;Christopher Hitchens;Christopher Hitchens
1;6;Dezember;Mark Kopytman;Mark Kopytman
1;7;Dezember;Cesária Évora;Cesária Évora
1;7;Dezember;Kim Jong-il;Kim Jong-il
1;8;Dezember;Diego Febles;Diego Febles
1;8;Dezember;Václav Havel;Václav Havel
1;9;Dezember;George Athor Deng Dut;George Athor Deng Dut
1;9;Dezember;Horst-Eberhard Richter;Horst-Eberhard Richter
1;9;Dezember;Erwin Wirschaz;Erwin Wirschaz
2;1;Dezember;Jürgen Hentsch;Jürgen Hentsch
21;Dezember;Werner Otto (Unternehmer);Werner Otto
2;4;Dezember;Johannes Heesters;Johannes Heesters
26;Dezember;Kennan Adeang;Kennan Ranibok Adeang
2;6;Dezember;James Rizzi;James Rizzi
2;7;Dezember;Michael Dummett;Michael Dummett
2;9;Dezember;Leopold Hawelka;Leopold Hawelka
